tiers_key,ca,TOTMVTC,TOTMVTD,TOTMVTCnet,TOTMVTDnet,ENG,MontImp,encours,Encours_Moyen_Debiteur,Encours_Moyen_crediteur,NBECHEANCE,Code_Classe,Code_Profession,Profession,Code_Activite_Economique,Activite_Economique,Code_secteur_activite,Secteur_Activite,Ville,ancienneté,pouvoir_credit
-0.018003560089833604,-0.04098621218282038,-0.062463480456949806,0.06301918053006565,-0.05542877271042492,0.06394412040068469,0,-0.06799574423620744,-0.04683725473940726,-0.10760914846185614,0.22098692834996825,2.3614436307955025e-16,-0.42478283882434703,59,49,282,194,46,10,729,-0.7528495674617057,sain
-0.017736481964112965,-0.04136120952656174,-0.06625532074766889,0.06615840854166842,-0.05942118219590153,0.06708318499746566,0,-0.06799574423620744,-0.04683725473940726,-0.07300571532397586,-0.061081625144881746,-1.097215912861147,-0.42478283882434703,65,23,374,142,46,10,729,-0.6616672147372977,sain
-0.01709153774940979,-0.04136120952656174,-0.06661343894106951,0.06615829634892494,-0.05979824303249685,0.06708307278968768,0,-0.06799574423620744,-0.04683725473940726,-0.08379554228635992,-0.06114697851746743,2.3614436307955025e-16,-0.42478283882434703,65,23,361,146,46,10,729,-0.6616672147372977,sain
-0.016050922237342714,-0.04136120952656174,-0.05753292898394472,0.058024514260292856,-0.05023741997396167,0.058948597358422054,0,-0.06799574423620744,-0.04683725473940726,-0.10489582757550983,-0.023747078646126706,2.3614436307955025e-16,-0.42478283882434703,13,61,282,194,46,10,729,-1.0263966256349295,sain
-0.014731358460634076,-0.04305559783701264,-0.06537586608359161,0.06494370856541272,-0.058495208823156196,0.0658906032035848,0,-0.06799574423620744,-0.04683725473940726,-0.10275102215061435,-0.05912338081697964,0.7639085018875879,-0.42478283882434703,14,60,282,194,46,10,858,-0.9352142729105216,sain
-0.01472146667819998,-0.04136120952656174,-2.6929450462163896e-11,-6.244377962302712e-11,-9.793241656010015e-13,2.0881156872987107e-11,0,-0.06799574423620744,-0.04683725473940726,-0.05839962384910512,-0.06112656930155045,2.3614436307955025e-16,-0.42478283882434703,97,88,374,142,46,10,517,0.7060680761288215,sain
-0.014533522811952122,-0.03794508526104092,-0.05968465615321341,0.05922054224016144,-0.05371042797993329,0.06015550288474798,2979,-0.06799574423620744,0.07154749723032727,-0.10834901478207637,-0.053822280306924604,-0.2580482079967621,-0.42478283882434703,21,97,282,194,46,10,517,-0.5704848620128898,risqué
-0.014304033459481055,-0.04136120952656174,-2.6929450462163896e-11,-6.244377962302712e-11,-9.793241656010015e-13,2.0881156872987107e-11,0,-0.06799574423620744,-0.04683725473940726,-0.10489582757550983,-0.06115062074914127,2.3614436307955025e-16,-0.42478283882434703,65,23,0,208,1,7,517,0.3413386652311897,sain
-0.014248639477850109,-0.039676918196454664,-0.06232074641311738,0.06223447095770535,-0.05527848875677534,0.06316315617105647,0,-0.06799574423620744,-0.04683725473940726,-0.1052911558052335,-0.049943073132427705,-0.6070090357621498,-0.42478283882434703,97,88,282,194,46,10,372,-0.5704848620128898,sain
-0.014185332070271882,-0.04136120952656174,-0.06661343894106951,0.06615825215755569,-0.05979824303249685,0.06708302859239652,0,-0.06799574423620744,-0.04683725473940726,-0.04218744227044742,-0.06113776631856614,2.3614436307955025e-16,2.906877546138695,65,23,282,194,46,10,517,-1.1175789783593375,sain
