tiers_key,ca,TOTMVTC,TOTMVTD,TOTMVTCnet,TOTMVTDnet,ENG,MontImp,encours,Encours_Moyen_Debiteur,Encours_Moyen_crediteur,NBECHEANCE,Code_Classe,Code_Profession,Profession,Code_Activite_Economique,Activite_Economique,Code_secteur_activite,Secteur_Activite,Ville,ancienneté,Cluster
1332841,1713921.812,2122959.84,-2456539.25,2122959.84,-2450338.72,"546077,194",0.0,0.0,46257.892438,32645.889764,64.0,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,CFA03,FABRICATION DE VETEMENTS SUR MESURE,CF,INDUSTRIE MANUFACTURIERE,RAS JEBEL,2,0
970397,500.0,500.0,-4259.75,500.0,-4087.2,0,0.0,0.0,12215.425035,0.0,134.0579981290926,1.0,P0599,AUTRES PROFESSIONS LIBERALES,FAB99,CONSTRUCTION DE BATIMENTS RESIDENTIELS ET NON RESIDENTIELS,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,SIDI BOUZID,6,1
1100196,139474.073,0.0,-235.33,0.0,-226.36,0,0.0,0.0,651.032169,364.190342,134.0579981290926,1.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,BDA02,"EXPLOITATION DE GRAVIERES ET SABLIERES, EXTRACTION D'ARGILES ET DE KAOLIN",BD,INDUSTRIES EXTRACTIVES,CITE EL MHIRI,22,0
751102,8656710.217,8677217.85,-8358254.55,8677217.85,-8349615.45,0,0.0,0.0,230974.498684,39709.197293,84.0,0.0,P1102,AGENTS GENERAUX ET COURTIERS D'ASSURANCE INDEPENDANTS,FAB99,CONSTRUCTION DE BATIMENTS RESIDENTIELS ET NON RESIDENTIELS,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,SOUSSE,27,1
1106336,764406.592,1008537.13,-1554705.36,1008537.13,-1553339.96,156060,0.0,156060.0,28.647769,86152.962753,134.0579981290926,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,BDA02,"EXPLOITATION DE GRAVIERES ET SABLIERES, EXTRACTION D'ARGILES ET DE KAOLIN",BD,INDUSTRIES EXTRACTIVES,EL MENZAH 1,6,0
1062768,139474.073,0.0,-489.59,0.0,-232.48,0,0.0,0.0,356.843778,31.022772,134.0579981290926,0.0,P1001,COMMERCANT DANS L'ALIMENTATION GENERALE,FAB99,CONSTRUCTION DE BATIMENTS RESIDENTIELS ET NON RESIDENTIELS,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,MENZEL TEMIME,5,1
580201,1637660.788,1639362.59,-1636223.25,1639362.59,-1635507.3,0,0.0,0.0,13007.415882,926.717649,134.0579981290926,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,FAB99,CONSTRUCTION DE BATIMENTS RESIDENTIELS ET NON RESIDENTIELS,FA,CONSTRUCTION,GAFSA,12,0
11212,139474.073,31.85,-0.0,31.85,-0.0,224670,0.0,224670.0,1832.3621925,1965.232112,134.0579981290926,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,CPD04,METALLURGIE DU CUIVRE,CP,INDUSTRIE MANUFACTURIERE,SOUSSE,9,0
1464345,126651464.412,220009636.98,-222403021.86,133496627.08,-222249960.69,"26115103,667",0.0,0.0,4436251.496057,37237.805115,997.0,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,CAB99,"TRANSFORMATION ET CONSERVATION DE POISSON, DE CRUSTACES ET DE MOLLUSQUES",CA,INDUSTRIE MANUFACTURIERE,SIDI EL HENI,1,0
843897,139474.073,3485166.04,-3473246.26,2971426.56,-3521324.16,0,0.0,0.0,113.14915,12465.753424,134.0579981290926,5.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,FCC05,TRAVAUX DE PEINTURE ,FC,CONSTRUCTION,SOUSSE,5,0
